,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1991,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
1992,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
1993,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
1994,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
1995,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
1996,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
1997,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
1998,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
1999,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
2000,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
2001,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
2002,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
2003,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
2004,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
2005,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
2006,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
2007,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
2008,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
2009,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
2010,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
2011,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
2012,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
2013,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
2014,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
2015,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
2016,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
2017,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
2018,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
2019,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
2020,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
2021,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
2022,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
2023,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
2024,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
2025,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
2026,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
2027,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
2028,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
2029,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
2030,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
2031,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
2032,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
2033,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
2034,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
2035,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
2036,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
2037,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
2038,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
2039,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
2040,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
2041,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
2042,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
2043,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
2044,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
2045,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
2046,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
2047,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
2048,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
2049,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
2050,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
2051,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
2052,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
2053,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
2054,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
2055,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
2056,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
2057,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
2058,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
2059,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
2060,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
2061,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
2062,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
2063,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
2064,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
2065,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
2066,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
2067,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
2068,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
2069,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
2070,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
2071,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
2072,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
2073,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
2074,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
2075,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
2076,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
2077,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
2078,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
2079,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
2080,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
2081,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
2082,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
2083,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
2084,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
2085,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
2086,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
2087,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
2088,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
2089,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
2090,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
2091,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
2092,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
2093,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
2094,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
2095,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
2096,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
2097,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
2098,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
2099,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
2100,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
2101,Marshon Brooks,2011,Providence,33,36.4,24.5,6.5,11.5,56.2%,2.1,6.3,33.5%,5.2,6.8,76.2%,2.3,4.8,7.2,2.5,1.5,1.2,3.0,2.5
2102,Kemba Walker,2011,Connecticut,43,37.9,23.7,5.9,12.6,46.9%,1.9,5.7,33.1%,6.3,7.7,81.6%,1.3,4.1,5.3,4.4,1.9,0.2,2.3,1.4
2103,Andrew Goudelock,2011,Col Of Charleston,38,35.3,23.6,5.1,10.4,49.4%,3.5,8.6,40.2%,2.9,3.6,82.4%,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8
2104,Andrew Gonzalez,2011,Houston Baptist,28,37.2,23.4,4.9,11.3,43.4%,2.0,5.0,39.3%,7.7,9.5,81.5%,1.5,3.9,5.4,2.3,1.7,0.5,3.4,2.3
2105,Adrian Oliver,2011,San Jose St,33,34.8,23.0,5.6,12.9,43.4%,2.2,5.4,40.1%,5.4,6.5,82.3%,1.3,4.2,5.4,2.4,0.7,0.3,3.0,2.8
2106,Charles Jenkins,2011,Hofstra,33,37.4,22.4,5.4,9.8,55.6%,2.0,4.8,42.0%,5.6,6.7,82.9%,0.5,2.6,3.1,4.8,1.7,0.6,2.2,2.0
2107,Devon Beitzel,2011,No. Colorado,33,36.0,22.2,3.4,6.2,55.2%,3.0,7.4,40.3%,6.5,7.1,91.1%,0.4,3.1,3.5,1.6,1.4,0.0,2.5,1.8
2108,Xavier Silas,2011,Northern Illinois,31,32.3,21.8,4.5,9.9,45.6%,2.1,5.1,40.3%,6.5,7.8,83.5%,0.7,4.1,4.8,1.6,1.2,0.3,3.8,2.6
2109,Anatoly Kolesnikov,2011,Nicholls St,27,34.4,21.7,4.1,8.9,46.5%,2.2,7.1,30.9%,6.8,9.0,76.0%,1.3,4.7,6.1,2.3,1.1,0.2,3.4,2.4
2110,Norris Cole,2011,Cleveland St.,35,36.1,21.6,5.5,11.9,46.3%,1.3,4.1,32.4%,6.6,7.7,85.6%,0.8,5.1,5.9,5.5,2.1,0.1,2.9,2.5
2111,C.J. McCollum,2011,Lehigh,32,35.1,21.6,5.2,11.9,43.3%,1.6,5.3,31.0%,6.4,7.5,85.1%,1.9,5.8,7.8,2.1,2.5,0.7,2.8,1.7
2112,Klay Thompson,2011,Washington St,34,34.7,21.6,4.2,9.0,46.6%,2.9,7.2,39.8%,4.6,5.4,83.8%,0.7,4.5,5.2,3.7,1.6,0.9,3.4,2.9
2113,Orlando Johnson,2011,UCSB,33,33.8,21.0,4.7,9.5,50.0%,2.1,5.2,40.7%,5.2,6.5,79.6%,1.5,5.3,6.7,2.9,1.2,0.5,3.0,2.2
2114,Donald Sims,2011,Appalachian St.,30,38.5,20.7,3.9,7.7,51.3%,2.4,7.1,34.4%,5.5,6.4,86.0%,0.3,3.1,3.4,3.5,1.7,0.2,2.8,1.5
2115,Andrew Nicholson,2011,St. Bonaventure,33,33.5,20.7,7.4,12.6,58.5%,0.2,0.7,26.1%,5.3,7.5,71.0%,1.6,5.5,7.1,1.0,0.6,1.4,3.2,2.9
2116,Nolan Smith,2011,Duke,37,34.0,20.6,5.5,10.9,50.1%,1.5,4.4,35.0%,5.1,6.2,81.3%,1.2,3.3,4.5,5.1,1.2,0.1,3.2,1.9
2117,Alec Burks,2011,Colorado,39,32.3,20.6,5.8,11.4,51.0%,0.7,2.5,28.3%,6.8,8.4,81.9%,2.3,4.0,6.3,2.9,1.1,0.3,2.6,2.4
2118,Gilberto Clavell,2011,Sam Houston St,29,31.6,20.6,7.1,12.7,56.1%,0.0,0.2,16.7%,6.3,8.4,74.9%,3.3,3.9,7.2,1.0,0.6,0.2,2.9,3.5
2119,Vlad Moldoveanu,2011,American,30,33.7,20.4,4.6,9.6,47.7%,2.0,5.4,36.8%,5.3,6.4,83.2%,1.6,4.8,6.4,2.0,0.4,0.5,1.9,2.3
2120,Justin Hurtt,2011,Tulsa,33,33.7,20.4,3.8,8.1,46.8%,2.8,7.4,37.7%,4.5,5.5,81.7%,0.5,3.2,3.7,2.5,0.5,0.2,2.8,1.6
2121,JaJuan Johnson (Purdue),2011,Purdue,35,35.5,20.3,7.0,13.7,51.5%,0.4,1.5,28.3%,5.0,6.2,80.2%,2.4,6.2,8.6,1.0,0.9,2.3,1.7,1.6
2122,Talor Battle,2011,Penn St,34,38.1,20.2,3.5,7.2,48.6%,3.1,8.4,36.9%,3.9,5.1,74.9%,0.5,3.9,4.4,2.9,0.8,0.1,2.0,1.5
2123,Cameron Jones,2011,Northern Arizona,32,34.0,20.2,6.6,14.4,46.1%,1.2,3.0,39.2%,3.3,4.1,81.7%,1.0,3.7,4.6,3.3,0.7,0.1,2.3,2.1
2124,Damian Lillard,2011,Weber St,7,32.6,20.1,3.3,6.6,50.0%,2.1,6.6,32.6%,7.1,8.6,83.3%,0.7,3.9,4.6,3.7,1.6,0.3,3.4,2.6
2125,Jimmer Fredette,2011,BYU,37,36.2,29.2,6.1,12.4,48.7%,3.4,8.6,39.2%,6.9,7.7,89.5%,0.6,2.8,3.5,4.2,1.3,0.0,3.6,1.3
